,Job Title,Company,Location,Salary,Search Term,lower_sal_val,upper_sal_val,mean salary,median_bool,state,60_perc_bool,70_perc_bool,75_perc_bool,90_perc_bool
506,Senior Data Scientist,        Analytic Recruiting,"New York, NY 10017 (Midtown area)",160000,"Roseland, NJ",160000,160000,160000.0,True,'NY',True,True,True,False
507,Data Analyst,        ADMIN FOR CHILDREN'S SVCS,"Manhattan, NY",70286 - 88213,"Roseland, NJ",70286,88213,79249.5,False,'NY',False,False,False,False
508,VP Data Science,    Beeswax,"New York, NY",130000 - 165000,"Roseland, NJ",130000,165000,147500.0,True,'NY',True,True,False,False
509,Senior Statistical Programmer,        Clark Davis Associates,"Parsippany, NJ 07054",115000,"Roseland, NJ",115000,115000,115000.0,True,'NJ',False,False,False,False
510,"Project Associate, EQUAL",    NYU Global TIES for Children,"New York, NY",52000,"Roseland, NJ",52000,52000,52000.0,False,'NY',False,False,False,False
511,"Director of Data Science, Analytics",    Averity,"New York, NY",175000 - 250000,"Roseland, NJ",175000,250000,212500.0,True,'NY',True,True,True,True
512,Principal Data Scientist,    Averity,"New York, NY",150000 - 185000,"Roseland, NJ",150000,185000,167500.0,True,'NY',True,True,True,False
513,Frontend Engineer,    605,"New York, NY",95000 - 130000,"Roseland, NJ",95000,130000,112500.0,True,'NY',False,False,False,False
514,Health Scientist,        Centers for Disease Control and Prevention,"New York, NY",88305 - 146570,"Roseland, NJ",88305,146570,117437.5,True,'NY',False,False,False,False
515,Senior Data Scientist ( FinTech / Fraud / Python / R / Machi...,    Venturi Ltd,"New York, NY",100000 - 135000,"Roseland, NJ",100000,135000,117500.0,True,'NY',False,False,False,False
516,Lead Data Scientist,    Averity,"New York, NY",120000 - 140000,"Roseland, NJ",120000,140000,130000.0,True,'NY',True,False,False,False
517,Data Engineer,    Harnham,"New York, NY",150000,"Roseland, NJ",150000,150000,150000.0,True,'NY',True,True,True,False
518,"Senior Data Scientist for Multi-Billion, Top-Ranked Global C...",    Averity,"New York, NY",100000 - 120000,"Roseland, NJ",100000,120000,110000.0,True,'NY',False,False,False,False
519,Research Scientist,"    Solidia Technologies, Inc.","Piscataway, NJ 08854",70000 - 140000,"Roseland, NJ",70000,140000,105000.0,False,'NJ',False,False,False,False
520,DATA ANALYST,        HRA/DEPT OF SOCIAL SERVICES,"Manhattan, NY",57969 - 62000,"Roseland, NJ",57969,62000,59984.5,False,'NY',False,False,False,False
521,Hydrologist,        NYC Parks Dept,"New York, NY",72000 - 84000,"Roseland, NJ",72000,84000,78000.0,False,'NY',False,False,False,False
522,Senior Data Scientist ( FinTech / Python / R / ML / Big Data...,    Venturi Ltd,"New York, NY",120000 - 200000,"Roseland, NJ",120000,200000,160000.0,True,'NY',True,True,True,False
523,Analytics Consultant,        Smith Hanley Associates,"Paramus, NJ",80000 - 100000,"Roseland, NJ",80000,100000,90000.0,False,'NJ',False,False,False,False
524,Senior Data Scientist for Fortune 500 Company,    Averity,"New York, NY",150000 - 185000,"Roseland, NJ",150000,185000,167500.0,True,'NY',True,True,True,False
525,"Data Manager – Researcher, Bureau of Children, Youth &amp; Famil...",        DEPT OF HEALTH/MENTAL HYGIENE,"New York, NY",70286 - 80829,"Roseland, NJ",70286,80829,75557.5,False,'NY',False,False,False,False
526,Sr Data Scientist - NLP &amp; CODING REQUIRED,    PMES,"New York, NY",155000,"Roseland, NJ",155000,155000,155000.0,True,'NY',True,True,True,False
